City,latitude,longitude,country,iso2,State
Kolkata ,22.5626,88.3630,India,IN,West Bengal
Kollam,8.8811,76.5847,India,IN,Kerala
Kota,25.1825,75.8391,India,IN,Rajasthan
Krishnanagar,23.4058,88.4907,India,IN,West Bengal
Krishnapuram,12.8696,79.7195,India,IN,Tamil Nadu 
Kumbakonam,10.9598,79.3775,India,IN,Tamil Nadu 
Kurnool,15.8289,78.0360,India,IN,Andhra Pradesh
Latur,18.3995,76.5843,India,IN,Maharashtra
Lucknow,26.8393,80.9231,India,IN,Uttar Pradesh
Ludhiana,30.9120,75.8538,India,IN,Punjab
Machilipatnam,16.1875,81.1389,India,IN,Andhra Pradesh
Madurai,9.9173,78.1196,India,IN,Tamil Nadu 
Mahabubnagar,16.7500,78.0000,India,IN,Telangana
Malegaon Camp,20.5700,74.5154,India,IN,Maharashtra
Mangalore,12.8654,74.8424,India,IN,Karnataka
Mathura,27.5035,77.6721,India,IN,Uttar Pradesh
Meerut,28.9800,77.7064,India,IN,Uttar Pradesh
Mirzapur,25.1449,82.5653,India,IN,Uttar Pradesh
Moradabad,28.8389,78.7768,India,IN,Uttar Pradesh
Mumbai,18.9878,72.8364,India,IN,Maharashtra
Muzaffarnagar,29.4709,77.7033,India,IN,Uttar Pradesh
Muzaffarpur,26.1226,85.3906,India,IN,Bihar
Mysore,12.2927,76.6385,India,IN,Karnataka
Nagercoil,8.1773,77.4344,India,IN,Tamil Nadu 
Nalgonda,17.0500,79.2700,India,IN,Telangana
Nanded,19.1602,77.3150,India,IN,Maharashtra
Nandyal,15.4780,78.4836,India,IN,Andhra Pradesh
Nasik,20.0000,73.7769,India,IN,Maharashtra
Navsari,20.8500,72.9167,India,IN,Gujarat
Nellore,14.4499,79.9870,India,IN,Andhra Pradesh
New Delhi,28.6000,77.2000,India,IN,Delhi
Nizamabad,18.6732,78.1001,India,IN,Telangana
Ongole,15.5036,80.0445,India,IN,Andhra Pradesh
Pali,25.7751,73.3206,India,IN,Rajasthan
Panaji,15.4983,73.8245,India,IN,Goa
Panchkula,30.6915,76.8537,India,IN,Haryana
Panipat,29.3875,76.9682,India,IN,Haryana
Parbhani,19.2686,76.7708,India,IN,Maharashtra
Pathankot,32.2748,75.6529,India,IN,Punjab
Patiala,30.3362,76.3922,India,IN,Punjab
Patna,25.6154,85.1010,India,IN,Bihar
Pilibhit,28.6312,79.8044,India,IN,Uttar Pradesh
Porbandar,21.6413,69.6009,India,IN,Gujarat
Port Blair,11.6667,92.7500,India,IN,Andaman and Nicobar Islands
Proddatur,14.7502,78.5481,India,IN,Andhra Pradesh
Puducherry,11.9338,79.8298,India,IN,Puducherry
Pune,18.5133,73.8499,India,IN,Maharashtra
Puri,19.7983,85.8249,India,IN,Odisha
Purnea,25.7767,87.4737,India,IN,Bihar
Raichur,16.2055,77.3557,India,IN,Karnataka
Raipur,21.2333,81.6333,India,IN,Chhattisgarh
Rajahmundry,17.0052,81.7778,India,IN,Andhra Pradesh
Rajapalaiyam,9.4511,77.5561,India,IN,Tamil Nadu 
Rajkot,22.2916,70.7932,India,IN,Gujarat
Ramagundam,18.4500,79.2800,India,IN,Telangana
Rampura,26.8847,75.7893,India,IN,Rajasthan
Ranchi,23.3478,85.3386,India,IN,Jharkhand
Ratlam,23.3303,75.0403,India,IN,Madhya Pradesh
Raurkela,22.2250,84.8641,India,IN,Odisha
Rohtak,28.8945,76.5892,India,IN,Haryana
Saharanpur,29.9679,77.5452,India,IN,Uttar Pradesh
Saidapur,27.5988,80.7509,India,IN,Uttar Pradesh
Saidpur,34.3182,74.4571,India,IN,Jammu and Kashmir
Salem,11.6512,78.1587,India,IN,Tamil Nadu 
Samlaipadar,21.4781,83.9905,India,IN,Odisha
Sangli,16.8568,74.5692,India,IN,Maharashtra
Saugor,23.8388,78.7387,India,IN,Madhya Pradesh
Shahbazpur,27.8741,79.8793,India,IN,Uttar Pradesh
Shiliguri,26.7100,88.4285,India,IN,West Bengal
Shillong ,25.5740,91.8968,India,IN,Meghalaya
Shimla,31.1044,77.1666,India,IN,Himachal Pradesh
Shimoga,13.9324,75.5726,India,IN,Karnataka
Sikar,27.6148,75.1387,India,IN,Rajasthan
Silchar,24.8273,92.7979,India,IN,Assam
Silvassa,20.2739,72.9967,India,IN,Dadra and Nagar Haveli
Sirsa,29.5349,75.0290,India,IN,Haryana
Sonipat,28.9948,77.0194,India,IN,Haryana
Srinagar,34.0857,74.8056,India,IN,Jammu and Kashmir
Surat,21.1959,72.8302,India,IN,Gujarat
Tezpur,26.6333,92.8000,India,IN,Assam
Thanjavur,10.7852,79.1391,India,IN,Tamil Nadu 
Tharati Etawah,26.7582,79.0149,India,IN,Uttar Pradesh
Thiruvananthapuram,8.4855,76.9492,India,IN,Kerala
Tiruchchirappalli,10.8155,78.6965,India,IN,Tamil Nadu 
Tirunelveli,8.7252,77.6845,India,IN,Tamil Nadu 
Tirupati,13.6355,79.4199,India,IN,Andhra Pradesh
Tiruvannamalai,12.2302,79.0730,India,IN,Tamil Nadu 
Tonk,26.1687,75.7861,India,IN,Rajasthan
Tuticorin,8.8050,78.1519,India,IN,Tamil Nadu 
Udaipur,24.5795,73.6905,India,IN,Rajasthan
Ujjain,23.1824,75.7764,India,IN,Madhya Pradesh
Vadodara,22.2994,73.2081,India,IN,Gujarat
Valparai,10.3252,76.9553,India,IN,Tamil Nadu 
Varanasi,25.3177,83.0058,India,IN,Uttar Pradesh
Vellore,12.9058,79.1371,India,IN,Tamil Nadu 
Vishakhapatnam,17.7041,83.2977,India,IN,Andhra Pradesh
Vizianagaram,18.1133,83.3977,India,IN,Andhra Pradesh
Warangal,17.9784,79.6002,India,IN,Telangana
Jorapokhar,23.7000,86.4127,India,IN,Jharkhand
Brajrajnagar,21.8200,83.9200,India,IN,Odisha
Talcher,20.9500,85.2300,India,IN,Odisha
