Ghaziabad,28.6654,77.4391
Gopalpur,26.7354,83.3806
Gulbarga,17.3358,76.8376
Guntur,16.2997,80.4573
Gurugram,28.4601,77.0264
Guwahati,26.1761,91.7629
Gwalior,26.2298,78.1734
Haldia,22.0253,88.0583
Haora,22.5769,88.3186
Hapur,28.7298,77.7807
Haripur,31.4632,75.9864
Hata,27.5927,78.0138
Hindupur,13.8281,77.4914
Hisar,29.1539,75.7229
Hospet,15.2695,76.3871
Hubli,15.3500,75.1386
Hyderabad,17.3841,78.4564
Imphal,24.8081,93.9442
Indore,22.7177,75.8586
Itanagar,27.1023,93.6920
Jabalpur,23.1745,79.9359
Jaipur,26.9133,75.7879
Jammu,32.7357,74.8691
Jamshedpur,22.8028,86.1854
Jhansi,25.4589,78.5799
Jodhpur,26.2684,73.0059
Jorhat,26.7575,94.2031
Kagaznagar,19.3316,79.4661
Kakinada,16.9604,82.2381
Kalyan,19.2437,73.1355
Karimnagar,18.4367,79.1322
Karnal,29.6920,76.9845
Karur,10.9603,78.0768
Kavaratti,10.5667,72.6167
Khammam,17.2477,80.1437
Khanapur,21.2737,76.1174
Kochi,9.9477,76.2538
Kohima,25.6747,94.1110
Kolar,13.1377,78.1300
Kolhapur,16.6956,74.2317
Kolkata ,22.5626,88.3630
Kollam,8.8811,76.5847
Kota,25.1825,75.8391
Krishnanagar,23.4058,88.4907
Krishnapuram,12.8696,79.7195
Kumbakonam,10.9598,79.3775
Kurnool,15.8289,78.0360
Latur,18.3995,76.5843
Lucknow,26.8393,80.9231
Ludhiana,30.9120,75.8538
Machilipatnam,16.1875,81.1389
Madurai,9.9173,78.1196
Mahabubnagar,16.7500,78.0000
Malegaon Camp,20.5700,74.5154
Mangalore,12.8654,74.8424
Mathura,27.5035,77.6721
Meerut,28.9800,77.7064
Mirzapur,25.1449,82.5653
Moradabad,28.8389,78.7768
Mumbai,18.9878,72.8364
Muzaffarnagar,29.4709,77.7033
Muzaffarpur,26.1226,85.3906
Mysore,12.2927,76.6385
Nagercoil,8.1773,77.4344
Nalgonda,17.0500,79.2700
Nanded,19.1602,77.3150
Nandyal,15.4780,78.4836
Nasik,20.0000,73.7769
Navsari,20.8500,72.9167
Nellore,14.4499,79.9870
New Delhi,28.6000,77.2000
Nizamabad,18.6732,78.1001
Ongole,15.5036,80.0445
Pali,25.7751,73.3206
Panaji,15.4983,73.8245
Panchkula,30.6915,76.8537
Panipat,29.3875,76.9682
Parbhani,19.2686,76.7708
Pathankot,32.2748,75.6529
Patiala,30.3362,76.3922
Patna,25.6154,85.1010
Pilibhit,28.6312,79.8044
Porbandar,21.6413,69.6009
Port Blair,11.6667,92.7500
Proddatur,14.7502,78.5481
Puducherry,11.9338,79.8298
Pune,18.5133,73.8499
Puri,19.7983,85.8249
Purnea,25.7767,87.4737
Raichur,16.2055,77.3557
Raipur,21.2333,81.6333
Rajahmundry,17.0052,81.7778
Rajapalaiyam,9.4511,77.5561
Rajkot,22.2916,70.7932
Ramagundam,18.4500,79.2800
Rampura,26.8847,75.7893
Ranchi,23.3478,85.3386
Ratlam,23.3303,75.0403
Raurkela,22.2250,84.8641
Rohtak,28.8945,76.5892
Saharanpur,29.9679,77.5452
